time;Todesfälle
26.02;0
27.02;0
28.02;0
29.02;0
01.03;0
02.03;0
03.03;0
04.03;0
05.03;0
06.03;0
07.03;0
08.03;0
09.03;0
10.03;0
11.03;0
12.03;1
13.03;1
14.03;1
15.03;3
16.03;5
17.03;6
18.03;9
19.03;12
20.03;17
21.03;18
22.03;24
23.03;34
24.03;42
25.03;51
26.03;63
27.03;78
28.03;93
29.03;103
30.03;122
31.03;136
01.04;147
02.04;161
03.04;175
04.04;192
05.04;209
06.04;225
07.04;250
08.04;266
09.04;281
10.04;292
11.04;304
12.04;313
13.04;329
14.04;332
